part_number,item_name,uom,price
T-80765-00,Label Stiker Tom dan Jerry No. 114 warna Kuning; Tom & Jerry; ; 1,Pack,390
T-80766-00,Label Stiker Tom & Jerry No. 114 warna Hijau; Tom & Jerry; ; 1,Pack,391
T-80767-00,Label Stiker Tom & Jerry No. 112 warna hijau; Tom & Jerry; ; 1,Pack,392
T-80768-00,Label Stiker Tom & Jerry No. 108 warna Hijau; Tom & Jerry; ; 1,Pack,393
T-80769-00,Label Stiker Tom & Jerry No. 112 warna merah; Tom & Jerry; ; 1,Pack,394
T-80770-00,Label Stiker Tom & Jerry No. 112 warna kuning; Tom & Jerry; ; 1,Pack,395
T-80773-00,Label Sticker Tom & Jerry No.108 Warna Biru Stabilo; ; ; 10 lembar per packPack 9000,,396
T-80775-00,Label Stiker Tom & Jerry No. 112 warna Orange; Tom & Jerry; ; 1,Pack,397
T-80776-00,Spidol OHP uk. Medium (OPM warna biru); ; ;,Pieces,398
T-80777-00,,Pieces,400
T-80786-00,Tempat Pena Besi Jaring warna Hitam; ; ;,Pieces,401
T-80802-00,Tinta Stempel Permanen warna Biru merk Shiny Premium InkTinta Stempel Permanen warna Biru merk Shiny; Shiny; ; PcsPieces 65000,,402
T-80804-00,Kertas HVS Warna Paperfine 80 gram c/n : IT 185 Pastel Lavender; Paperfine; c/n : IT 185 Pastel Lavender; PackPack 17500,,403
T-80805-00,Kertas HVS Warna Paperfine 80 gram c/n : IT 200 Gold; Paperfine; c/n : IT 200 Gold; PackPack 17500,,404
T-80806-00,Kertas HVS Warna Paperfine 80 gram c/n : IT 130 Pastel Lagoon; Paperfine; c/n : IT 130 Pastel Lagoon; PackPack 17500,,405
T-80807-00,Kertas HVS Warna Paperfine 80 gram c/n : IT 120 Ocean; Paperfine; c/n : IT 120 Ocean; PackPack 17500,,406
T-80808-00,Kertas HVS Warna Paperfine 80 gram c/n : IT 210 Lemon; Paperfine; c/n : IT 210 Lemon; PackPack 17500,,407
T-80809-00,Pita Fullmark Epson ERC 05; Epson; ERC 05; PcsPieces 30000,,408
T-80811-00,Pita Label Casio XR-12 (12mm) Warna Biru; ; ;,Pieces,409
T-80819-00,Plastik Mika / Jilid Ukuran A4; -; -; 100lembar/packPack 55000,,410
T-80867-00,Spidol OHP Ukuran Medium; Biru; Snowman; pcPieces 11000,,411
T-80868-00,Spidol OHP uk. Fine (satuan) - OPF Hijau; Snowman; ; PcsPieces 11000,,412
T-80890-00,Pita Dymo warna Merah 9 mm; ; ; PiecesPieces 28500,,413
T-80892-00,,Pieces,414
T-80893-00,Ballpoint Snowman V5 0.7 Hitam; Snowman; ;,Pieces,415
T-80894-00,Ballpoint Snowman V5 0.7 Merah; Snowman; ;,Pieces,416
T-80898-00,Map ACCO Murah (Snelhecter) - HIJAU; ; ;,Pack,417
T-80923-00,Tinta Stampel Bantal Hitam Pyramid; Pyramid; ;,Pieces,418
T-80931-00,Map ACCO Murah (Snelhecter) - MERAH; ; ;,Pack,419
T-80932-00,Map ACCO Murah (Snelhecter) - KUNING; ; ;,Pack,420
T-80934-00,Label Stiker Tom & Jerry Warna;; ; ;,Pack,421
T-80945-00,Map Klip Plastik; ; ;,Pieces,422
T-80954-00,"Cellotape / Lakban Sazanami warna hijau muda size 24mm (1"""") X 5m; Sazanami; ;",Roll,423
T-80956-00,Buku Tulis 300L Kuarto Hard Cover; pcPieces 24000,,424
T-80969-00,Pena Biru; Snowman; V-7; pcPieces 3000,,425
T-80981-00,Kertas HVS Warna F4 70 gsm; Warna Putih; Lokal; rimRim 70000,,426
T-80984-00,Thermal Paper 58 X 48 mm; FyFax; ; 1 roll/pcPieces 6000,,427
T-80988-00,Jumbox File Rack GL 1317; Jumbox; GL 1317; pcPieces 35000,,428
T-80991-00,Pena Biru; Zebra; Kokoro Gel; pcPieces 10000,,429
T-80992-00,Tinta Stempel Hijau; Trodat; 25 ml/btlBotol 55000,,430
T-80993-00,Baterai 3V CR2025; Energizer; pcPieces 6000,,431
T-80994-00,Alat Lem Tembak/Glue Gun; Lokal; pack size per pcsUnit 80000,,432
T-81001-00,,Pack,433
T-81002-00,Map Acco Warna Kuning; ; ;,Pack,434
T-81003-00,Map Acco Warna Merah; ; ;,Pack,435
T-81005-00,Spidol Whiteboard Pilot V Board Master Hijau; ; ;,Pieces,436
T-81006-00,Spidol Whiteboard Pilot V Board Master Biru; ; ;,Pieces,437
T-81007-00,Spidol OHP Uk. Fine Biru; Uk.Fine; -; 6pcs/packPack 65000,,438
T-81008-00,Spidol OHP Uk. Fine Merah; Uk.Fine; -; 6pcs/packPack 65000,,439
T-81009-00,Spidol OHP Uk. Fine Hijau; Uk.Fine; -; 6pcs/packPack 65000,,440
T-81010-00,Spidol OHP Uk. Fine Hitam; Uk.Fine; -; 6pcs/packPack 65000,,441
T-81013-00,Tinta Stempel Biru; Trodat; 25 ml/btlPieces 55000,,442
T-81014-00,Tinta Stempel Hitam; Trodat; 25 ml/btlPieces 55000,,443
T-81015-00,Tinta Stempel Merah; Trodat; 25 ml/btlPieces 55000,,444
T-81018-00,Kertas Struk Thermal; Fyfax; Uk 11x30; pack size per rollRoll 15000,,445
T-81019-00,Kertas Strok Thermal; Fyfax; Uk 80x48 mm; pack size per rollRoll 15000,,446
T-81020-00,Pena Hitam; Joyko; GP265; pcPieces 3750,,450
T-81041-00,Refill Spidol Whiteboard Hijau; Snowman; pcPieces 20000,,452
T-81049-00,Ribbon Cartridge ; Epson ; ERC-09 Seamless ; Purple ; ORIGINAL ; pack size per pcsPieces 30000,,453
T-81069-00,Double tape busa 1 inch ( 3M ); ; ;,Pieces,454
T-81070-00,Label Stiker Tom & Jerry No.,Pack,455
T-81089-00,Map Business File F4 Hijau @12pc/pckPieces 55000,,456
T-81090-00,Map Business File F4 Putih @12pc/pckPieces 55000,,457
T-81106-00,Kertas CONCORD 100 gr A4 Abu-abu; ; ;,Pack,458
T-81107-00,Kertas CONCORD 100 gr A4 Lime; ; ;,Pack,459
T-81201-00,"Refill Tinta Pena Pilot Frixion Ball Hitam 0,5; ; ;",Pieces,460
T-81202-00,"Refill Tinta Pena Pilot Frixion Ball Hitam 0,7; ; ;",Pieces,461
T-81203-00,"Refill Tinta Pena Pilot Frixion Ball Biru 0,5; ; ;",Pieces,462
T-81204-00,"Refill Tinta Pena Pilot Frixion Ball Biru 0,7; ; ;",Pieces,463
T-81206-00,Buku Tulis Ekspedisi1/2 Folio Hard Cover; ; ;,Pieces,464
T-81211-00,Buku tulis ukuran kuarto isi 38 lembar; Sidu; ; pack size per pcsPieces 4000,,465
T-81212-00,Buku tulis ukuran kuarto isi 58 lembar; Sidu; ; pack size per pcsPieces 6000,,466
T-81213-00,"Cellotape / Lakban Lantai Merk 3M, ukuran 2 in x 36 yd, tebal 0.14 mm, Warna merah; 3M; ;",Roll,467
T-81214-00,Lem Kertas Bantex 22 Gram; Bantex; ; pcsPieces 15000,,468
T-81215-00,Lem Kertas Glue Stick Bantex 35 Gram; Bantex; ; pcPieces 20000,,469
T-81216-00,Spidol Permanent Hijau; Snowman; ; pack size per pcsPieces 6000,,470
T-81217-00,Spidol Permanent Hijau - Refill; Snowman; ; pack size per pcsPieces 17000,,471
T-81218-00,,Pieces,472
T-81231-00,Pita Label Casio XR-12 (12mm) Warna Pink; ; ;,Pieces,473
T-81232-00,Double Tape 3M Foam uk. 1 inch ; Warna Merah; ; ;,Pieces,474
T-81233-00,Kertas Concorde Warna A4 160gsm ; 80320 Warna Putih; ; ;,Pack,475
T-81234-00,Kertas Concorde Warna A4 160gsm ; 80321 Warna Pink / Merah Muda; ; ;,Pack,476
T-81235-00,Kertas Concorde Warna A4 160gsm ; 80322 Warna Biru; ; ;,Pack,477
T-81236-00,Kertas Concorde Warna A4 160gsm ; 80323 Warna Kuning; ; ;,Pack,478
T-81237-00,Kertas Concorde Warna A4 160gsm ; 80324 Warna Hijau; ; ;,Pack,479
T-81238-00,Kertas Concorde Warna A4 90gsm ; 80211 Warna Coklat Muda; ; ;,Pack,480
T-81239-00,Kertas Concorde Warna A4 90gsm ; 80212 Warna Merah; ; ;,Pack,481
T-81240-00,Kertas Concorde Warna A4 90gsm ; 80210 Warna Kuning Gold; ; ;,Pack,482
T-81241-00,Kertas Concorde Warna A4 90gsm ; 80200 Warna Hijau Mint; ; ;,Pack,483
T-81242-00,Kertas Concorde Warna A4 90gsm ; 80208 Warna Silver; ; ;,Pack,484
T-81243-00,Kertas Concorde Warna A4 90gsm ; 80209 Warna Hijau Muda; ; ;,Pack,485
T-81244-00,Kertas Concorde Warna A4,Pack,486
T-81245-00,Kertas Concorde Warna A4 90gsm ; 80205 Warna Biru; ; ;,Pack,487
T-81246-00,Kertas Concorde Warna A4 90gsm ; 80204 Warna Biru Muda; ; ;,Pack,488
T-81247-00,Kertas Concorde Warna A4 90gsm ; 80203 Warna Krem; ; ;,Pack,489
T-81248-00,Kertas Concorde Warna A4 90gsm ; 80202 Warna Kuning Muda; ; ;,Pack,490
T-81249-00,Kertas Concorde Warna A4 90gsm ; 80201 Warna Putih; ; ;,Pack,491
T-81250-00,Pena Kokoro Gel; Zebra; Warna Hitam; ; ;,Pieces,10000
