part_number,item_name,uom,price
T-80121-00,Clear Sleeves Uk. Folio; 12,pc,101
T-80122-00,Clip Board Bahan Mika/Transparant; pcPieces 27000,,102
T-80123-00,Clip Board Bahan Doff; pcPieces 20000,,103
T-80124-00,Clip Board with Wire ClipPieces 30000,,104
T-80145-00,Cutter Besar L-500 (18 mm); 5,pc,105
T-80146-00,Cutter Kecil A-300 (9 mm); 5,pc,106
T-80147-00,Cutter Kecil KENKO K 200Pieces 6000,,107
T-80148-00,Refill Cutter Kecil A-100 (9 mm); 5,pc,108
T-80149-00,Refill Cutter Besar L-150 (18 mm); 5,pc,109
T-80150-00,Dispenser Cellotape / Lakban untuk ukuran lakban 1/2 - 1 inch (Core 3 inch),Pieces,110
T-80151-00,Dispenser Tangan Cellotape / Lakban untuk ukuran lakban 2 inch (Core 3 inch),Pieces,111
T-80152-00,Divider Abjad A-ZSet 60000,,112
T-80153-00,"Divider Angka 1 - 10Pack 35000 DXM DOMESTIC Blanket Purchase Agreement BPA-BS- 01-2025-JKT, 1 Proprietary and Confidential Line Part Number / Description Effective Date Expires On Quantity UOM",Unit,113
T-80154-00,Divider Angka 1 - 15Pack 47000,,114
T-80155-00,Divider Angka 1 - 5Pack 17000,,115
T-80161-00,"Divider Polos Warna, 10 warnaPack 32000",,116
T-80163-00,"Divider PP warna, A4, 20 pages (6013)",Pack,117
T-80164-00,"Divider Polos Warna, 5 warnaPack 20000",,118
T-80165-00,Document Keeper 20 LembarPieces 25000,,119
T-80166-00,Document Keeper 40 LembarPieces 30000,,120
T-80167-00,Document Keeper 60 LembarPieces 35000,,121
T-80168-00,Double Tape 1/2 inchRoll 4000,,122
T-80169-00,Double Tape 1 inchRoll 8000,,123
T-80183-00,Gantungan kunci; Kenko/Joyko; KR-06; 6,pc,124
T-80184-00,"Gunting Besar (8,5 Inch); pcPieces 12000",,125
T-80185-00,"Gunting Sedang (6,5 Inch); pcPieces 7500",,126
T-80194-00,Isi Stapler Besar No.1210 ukuran 23x10mm; Lokal; box kecilPack 25000,,127
T-80195-00,Isi Stapler Besar No.1213 ukuran 23x13mm; Lokal; box kecilPack 30000,,128
T-80196-00,Isi Stapler 1215Pack 35000,,129
T-80197-00,Isi Stapler 1217Pack 40000,,130
T-80198-00,Isi Stapler Besar No.3 ukuran 24x6mm; Lokal; box kecilPack 7000,,131
T-80199-00,Isi Stapler Kecil No.10 ukuran 10x5mm; Lokal; box kecilPack 3000,,132
T-80201-00,Karton BUFFALO&#65533; BiruPack 50000,,133
T-80202-00,Karton BUFFALO&#65533; CoklatPack 50000,,134
T-80203-00,,Pack,135
T-80204-00,Karton BUFFALO&#65533; PutihPack 50000,,136
T-80205-00,Karton Buffalo Uk. A4; Lokal; 100,pc,137
T-80206-00,Karton Buffalo Uk. F4; Lokal; 100,pc,138
T-80208-00,Kertas CONCORD 100 gr A4 BiruPack 12000,,139
T-80209-00,Kertas CONCORD 100 gr A4 KuningPack 12000,,140
T-80210-00,Kertas CONCORD 100 gr A4 PinkPack 12000,,141
T-80211-00,Kertas CONCORD 100 gr A4 PutihPack 12000,,142
T-80212-00,Kertas CONCORD 100 gr A4 SalemPack 12000,,143
T-80215-00,Kertas FlipchartRoll 450000,,144
T-80216-00,Kertas HHI / Buram; Lokal; rimRim 25000,,145
T-80217-00,Kertas HVS Putih A3 70 gsm; Lokal; rimRim 90000,,147
T-80219-00,Kertas HVS Putih A3 80 grRim 100000,,148
T-80220-00,Kertas HVS A4 100 grRim 100000,,149
T-80221-00,Kertas HVS Warna 60 GrRim 65000,,150
T-80223-00,Kertas HVS Warna Biru Folio 60 gramRim 65000,,151
T-80224-00,Kertas HVS Warna Hijau Folio 60 gramRim 65000,,152
T-80225-00,Kertas HVS Warna Kuning Folio 60 gramRim 65000,,153
T-80226-00,Kertas HVS Warna Merah Folio 60 gramRim 65000,,154
T-80227-00,Kertas KarbonBox 35000,,155
T-80232-00,,Roll,156
T-80234-00,Kertas SAMSONRoll 145000,,157
T-80235-00,Kertas Sticker ASTUROPieces 15000,,158
T-80236-00,Kertas Thermal; Lokal; Uk. 58 x 48 mm; 10 roll/pckPack 25000,,159
T-80237-00,Buku Kwitansi Besar ukuran 32x10cm; pcPieces 6000,,160
T-80238-00,Buku Kwitansi Kecil ukuran 21x7cm; pcPieces 3000,,161
T-80239-00,Label Stiker Tom & Jerry No. 100; 10 lembar/pckPack 5500,,162
T-80240-00,Label Stiker Tom & Jerry No. 101; 10 lembar/pckPack 5500,,163
T-80242-00,Label Stiker Tom & Jerry No. 103; 10 lembar/pckPack 5500,,164
T-80243-00,Label Stiker Tom & Jerry No. 104Pack 5500,,165
T-80244-00,Label Stiker Tom & Jerry No. 105; 10 lembar/pckPack 5500,,166
T-80245-00,Label Stiker Tom & Jerry No. 106; 10 lembar/pckPack 5500,,167
T-80246-00,Label Stiker Tom & Jerry No. 107; 10 lembar/pckPack 5500,,168
T-80247-00,Label Stiker Tom & Jerry No. 108; 10 lembar/pckPack 5500,,169
T-80248-00,Label Stiker Tom & Jerry No. 109; 10 lembar/pckPack 5500,,170
T-80249-00,Label Stiker Tom & Jerry No. 110Pack 5500,,171
T-80250-00,Label Stiker Tom & Jerry No. 112; 10 lembar/pckPack 5500,,172
T-80251-00,Label Stiker Tom & Jerry No. 113Pack 5500,,173
T-80252-00,Label Stiker Tom & Jerry No. 119Pack 5500,,174
T-80253-00,Label Stiker Tom & Jerry No.,Pack,175
T-80254-00,Label Stiker Tom & Jerry No. 121Pack 5500,,176
T-80255-00,Label Stiker Tom & Jerry No. 122Pack 5500,,177
T-80256-00,Label Stiker Tom & Jerry No. 123; 10 lembar/pckPack 5500,,178
T-80257-00,Label Stiker Tom & Jerry No. 124Pack 5500,,179
T-80258-00,Label Stiker Tom & Jerry No. 125Pack 5500,,180
T-80259-00,Label Stiker Tom & Jerry No. 126Pack 5500,,181
T-80260-00,Label Stiker Tom & Jerry No. 127; 10 lembar/pckPack 5500,,182
T-80261-00,Label Stiker Tom & Jerry No. 129Pack 5500,,183
T-80262-00,Laminating Film Folio 250 micronPack 110000,,184
T-80263-00,Laminating Film KTP 250 micronPack 50000,,185
T-80264-00,Lem&#65533; GLUEFIX 50 mlPieces 6500,,186
T-80265-00,Lem Super Glue; Alteco/Korea; pcPieces 10000,,187
T-80266-00,Lem Batang 10 gr Pritt/UHUPieces 10000,,188
T-80267-00,Lem Batang 20 gr Pritt/UHUPieces 20000,,189
T-80268-00,Lem Batang 40 gr Pritt/UHUPieces 28000,,190
T-80269-00,Lem FLUEKI 50Pieces 10000,,191
T-80270-00,Lem Povinal 112Pieces 10000,,192
T-80271-00,Letter Tray 3 TingkatSet 95000,,195
T-80274-00,Loose Leaf refillPieces 10000,,196
T-80275-00,Magnet Joyko isi 5Pieces 6000,,197
T-80276-00,Map Kertas/Stopmap; Lokal;,Box,198
T-80277-00,Map ACCOýDIAMOND CreamBox 90000,,199
T-80278-00,Map ACCOýDIAMOND KuningBox 90000,,200
T-80279-00,Map Kertas/Stopmap Snelhecter; Lokal; 50,pc,201
T-80280-00,Map BusinessFile A4 Abu- abuPack 50000,,202
T-80281-00,Map Business File A4 Biru @12pc/pckPack 50000,,203
T-80282-00,Map Business File A4 Kuning @12pc/pckPack 50000,,204
T-80283-00,Map Business File A4 Merah @12pc/pckPack 50000,,205
T-80284-00,Map Business File F4 Abu- abu @12pc/pckPack 55000,,206
T-80285-00,Map Business File F4 Biru @12pc/pckPack 55000,,207
T-80286-00,Map Business File F4 Kuning @12pc/pckPack 55000,,208
T-80287-00,Map Business File F4 Merah @12pc/pckPack 55000,,209
T-80288-00,Map DIAMOND BiruPieces 55000,,210
T-80289-00,Map DIAMOND HijauPieces 1500,,211
T-80290-00,Map DIAMOND KuningPieces 1500,,212
T-80291-00,Map DIAMOND MerahPieces 1500,,213
T-80292-00,Map Gantung LIHITPieces 220000,,214
T-80294-00,Map Ring PlasticPack 85000,,223
T-80303-00,Map Stofmap Buffalo (Map Diamond pakai kuping),Pieces,224
T-80304-00,Map Stofmap Karton Manila (map pakai kuping),Pieces,225
T-80305-00,"Map Zipper Folio dengan Jaring; Lokal; pcPieces 40000 DXM DOMESTIC Blanket Purchase Agreement BPA-BS- 01-2025-JKT, 1 Proprietary and Confidential Line Part Number / Description Effective Date Expires On Quantity UOM",Unit,226
T-80307-00,Memo BLOCK CADDY SETSet 35000,,227
T-80309-00,Mouse Pad Gel Tebal; Lokal; pack size per pcsPieces 10000,,228
T-80310-00,Name Card Case 400 cardPieces 85000,,229
T-80311-00,Name Card Case 600 cardPieces 95000,,230
T-80312-00,Name Card Holder 1 x 4Pieces 30000,,231
T-80313-00,Name Tag Jepit/Jepit ID Card; Lokal; 100,pc,232
T-80314-00,Name Tag TaliPack 3500,,233
T-80335-00,Paku Push Pin Warna Warni; Lokal; per box kecilSet 5000,,234
T-80336-00,Paku Tusukan BonPieces 5000,,235
T-80337-00,Paper Clips Trigonal No. 1Box 4000,,236
T-80338-00,Paper Clips Trigonal No. 3; Lokal; per box kecilBox 2000,,237
T-80339-00,Paper Clips Trigonal No. 5; Lokal; per box kecilPieces 5000,,238
T-80341-00,Pembolong Kertas/perforator 30XL; pcPieces 15000,,239
T-80342-00,Pembolong Kertas/perforator 40XL; pcPieces 30000,,240
T-80343-00,Pembolong Kertas/perforator 85XL; pcPieces 51000,,241
T-80344-00,Penggaris Besi 30 cm; pcPieces 15000,,242
T-80345-00,Penggaris Plastik 30 cm; pcPieces 3000,,243
T-80346-00,Penghapus Pensil Besar; pcPieces 10000,,244
T-80347-00,Penghapus Pensil Kecil; pcPieces 4000,,245
T-80348-00,Penghapus White Board; pcPieces 20000,,246
T-80349-00,Pensil Mekanik; pcPieces 15000,,247
T-80350-00,Pensil Steadtler 2BPieces 4500,,248
T-80351-00,Pensil Steadtler HBPieces 4500,,249
T-80352-00,,Pieces,250
T-80353-00,Pensil HB/2B; Faber Castell; pcPieces 5000,,251
T-80354-00,Pensil Mekanik - refill 2BPieces 6500,,252
T-80355-00,Pensil Mekanik PentelPieces 15000,,253
T-80356-00,Refill Pensil Mekanik; Pilot; pcTube 6500,,254
T-80361-00,Pipe Binder 1362 FolioPieces 49000,,255
T-80362-00,Pipe Binder 1391 A4Pieces 52000,,256
T-80363-00,Pipe Binder 1392 FolioPieces 63000,,257
T-80364-00,Pita Label Casio XR-12 (12mm),Pieces,258
T-80365-00,Pita Mesin Tik BROTHERPieces 50000,,259
T-80366-00,Pita Mesin Tik BROTHER GX8521Pieces 50000,,260
T-80367-00,Pita Mesin Tik Correction BROTHER GX8521Pieces 50000,,261
T-80368-00,Pita Mesin Tik SwallowPieces 50000,,262
T-80369-00,Pita Print EPSON LQ 1170Pieces 65000,,263
T-80370-00,Pita Print EPSON LQ 2170/2180 include cartridgePieces 180000,,264
T-80371-00,Ribbon Cartridge ; Epson ; ERC-09 Fullmark ; Purple ; ORIGINAL ; pack size per pcs ;,Pieces,265
T-80372-00,Cellotape / Lakban kertas kulit jeruk 1 inch; DaimaruRoll 6000,,266
T-80373-00,Cellotape / Lakban Bening 2 inchRoll 8000,,267
T-80374-00,Cellotape / Lakban Coklat 2 inchRoll 8000,,268
T-80375-00,Cellotape / Lakban Hitam 1 inchRoll 12000,,269
T-80376-00,"Cellotape / Lakban Hitam 2 inchRoll 18000 DXM DOMESTIC Blanket Purchase Agreement BPA-BS- 01-2025-JKT, 1 Proprietary and Confidential Line Part Number / Description Effective Date Expires On Quantity UOM",Unit,270
T-80377-00,Plakband Linen 2 inchRoll 18000,,271
T-80378-00,Cellotape / Lakban OPP Coklat/Bening uk. 2inchRoll 8000,,272
T-80379-00,Plastik Cover Jilid ukuran FolioPack 55000,,274
T-80381-00,Plastik Laminating Pouch Film (68.5 X 97 MM) Thinkness 250 Micron @ 50 pcsPack 50000,,275
T-80382-00,"Plastik Laminating UK. 225 X 340 mm, 100 micron @100 SheetPack 110000",,276
T-80383-00,Plastik MajalahPack 150000,,277
T-80384-00,Plastik Sheet Protector A4 Merk BAMBI @ 10 sheetPack 30000,,278
T-80385-00,Plastik Sheet Protector Folio Merk BAMBI @ 10 sheetPack 40000,,279
T-80386-00,Post-It Sign Here; pckPieces 20000,,280
T-80387-00,"Post-It Yellow; Lokal; 653 (1,5 x 2 Inch); pckPieces 5000",,281
T-80388-00,Post-It Yellow; Lokal; 654 (3 x 3 Inch); pckPieces 10500,,282
T-80389-00,Post-It Yellow; Lokal; 655 (3 x 5 Inch); pckPieces 17000,,283
T-80390-00,Post-It Yellow; Lokal; 656 (2 x 3 Inch); pckPieces 9000,,284
T-80391-00,Post-It Kecil 6 warna; setPieces 10000,,285
T-80392-00,Push Pin (Paku Payung / Paku kecil warna-warni),Pack,286
T-80399-00,Rak Surat 803 Microtop 3 tingkatPieces 95000,,287
T-80400-00,Rautan Pensil ukuran besar (untuk di meja),Pieces,288
T-80402-00,Ribbon Printer EPSON LQ 2180 + WadahPieces 180000,,289
T-80403-00,Ribbon,Pack,290
T-80404-00,"Ribbon Cartridge ; Epson ; SO15516 ; Black ; ORIGINAL ; pack size 17,7 meter per pack ; Tipe Printer Epson LX 300Pieces 55000",,291
T-80405-00,Ribbon Printer EPSON LX 300 RefilllPieces 50000,,292
T-80427-00,Spidol ARTLINE 70 - HitamPieces 10000,,293
T-80428-00,Spidol OHP uk FinePieces 11000,,294
T-80429-00,Spidol Permanent Biru; pcPieces 6000,,295
T-80430-00,Refill Spidol Permanent Biru; pcPieces 17000,,296
T-80431-00,Spidol Permanent Hitam; pcPieces 6000,,297
T-80432-00,Refill Spidol Permanent Hitam; pcPieces 17000,,298
T-80433-00,Spidol Permanent Merah; pcPieces 6000,,299
T-80434-00,Refill Spidol Permanent Merah; pcPieces 17000,,300
T-80435-00,Spidol SNOWMAN Kecil 12 WarnaPieces 14000,,301
T-80436-00,Spidol Kecil Biru; Snowman; pcPieces 1000,,302
T-80437-00,Spidol Kecil Hitam; Snowman; pcPieces 1000,,303
T-80438-00,Spidol Kecil Merah; Snowman; pcPieces 1000,,304
T-80439-00,Spidol Whiteboard Biru; pcPieces 7000,,305
T-80440-00,Refill Spidol Whiteboard Biru; pcPieces 20000,,306
T-80441-00,Spidol Whiteboard Hitam; pcPieces 7000,,307
T-80442-00,Refill Spidol Whiteboard Hitam; pcPieces 20000,,308
T-80443-00,"Spidol Whiteboard Merah; pcPieces 7000 DXM DOMESTIC Blanket Purchase Agreement BPA-BS- 01-2025-JKT, 1 Proprietary and Confidential Line Part Number / Description Effective Date Expires On Quantity UOM",Unit,309
T-80444-00,Refill Spidol Whiteboard Merah; pcPieces 20000,,310
T-80445-00,Stabilo Biru; pcPieces 8500,,311
T-80446-00,Stabilo Hijau; pcPieces 8500,,312
T-80447-00,Stabilo Kuning; pcPieces 8500,,313
T-80448-00,Stabilo Orange; pcPieces 8500,,314
T-80449-00,Stabilo Pink; pcPieces 8500,,315
T-80450-00,Stabilo Swing 6 warnaSet 60000,,318
T-80453-00,Stapler Besar - HD50Pieces 65000,,319
T-80454-00,Stapler Kecil - HD10Pieces 14000,,320
T-80455-00,Stapler Remover; Lokal; pcPieces 35000,,321
T-80456-00,Stapler Kecil (ukuran isi 10x5mm); Lokal; HD-10; pcPieces 14000,,322
T-80458-00,Stapler Besar (ukuran isi 24x6mm) ; Lokal; HD-50; pcPieces 65000,,325
T-80462-00,Stapler Remover; MAX; pcPieces 50000,,326
T-80467-00,Dispenser Cellotape / Lakban untuk ukuran lakban 1/2 inch (Core 1 inch),Unit,327
T-80469-00,Tempat Pensil Persegi Empat Aluminium hitam; Lokal; pack size per pcsPieces 35000,,328
T-80529-00,Tinta Stampel Bantal Biru PIRAMIDPieces 15000,,329
T-80530-00,Tinta Stampel Bantal Merah PIRAMIDPieces 35000,,330
T-80531-00,Tinta Stempel Bantalan Stempel ARTLINEPieces 25000,,331
T-80532-00,Tinta Stempel Otomatis Biru; 5 ml/btlPieces 55000,,332
T-80533-00,Tinta Stampel Otomatis HitamPieces 55000,,333
T-80534-00,"Tinta Stempel Otomatis Merah; 5 ml/btlPieces 55000 DXM DOMESTIC Blanket Purchase Agreement BPA-BS- 01-2025-JKT, 1 Proprietary and Confidential Line Part Number / Description Effective Date Expires On Quantity UOM",Unit,334
T-80535-00,Tipp Ex BotolPieces 30000,,335
T-80536-00,Tipp Ex Cair PENTEL ZL62- WPieces 35000,,336
T-80537-00,Tipp Ex Fine Point MetalPieces 35000,,337
T-80538-00,Tip Ex,Roll,338
T-80570-00,White Board gantung magnetic uk 40x60 cmUnit 95000,,339
T-80571-00,White Board gantung magnetic uk 60x120 cmUnit 335000,,341
T-80595-00,Clip Board Bahan Kayu; pcPieces 24500,,342
T-80601-00,Kertas A5 ; Warna PutihRim 25000,,343
T-80625-00,Kertas Thermal; Lokal; Ukuran 75 x 65 mm; pack size 10 roll per packPack 65000,,344
T-80626-00,Ribbon Cartridge ; Epson ; ERC-38 Fullmark ; Purple ; ORIGINAL ; pack size per pcsPieces 50000,,345
T-80629-00,Pita Printer Timbangan Epson; FULLMARK; ERC- 05; Color: Seamless Nylon Purple; Ribbon: 4.0mm x 0.17mPieces 30000,,346
T-80639-00,Ribbon Cartridge ; Epson ; S015632 ; Black ; ORIGINAL ; pack size 18 meter per pack ; Tipe Printer Epson LX 310Pieces 55000,,347
T-80640-00,Spidol Snowman 500 Hitam; ; ; pcPieces 25000,,348
T-80641-00,Spidol Snowman 500 Biru; ; ; pcPieces 25000,,349
T-80642-00,Spidol Snowman 500 Merah; ; ; pcPieces 25000,,350
T-80643-00,Kertas HVS Warna Paperfine 80 gram c/n : IT 250 Red; Paperfine; c/n : IT 250 Red;,Pack,351
T-80644-00,Kertas HVS Warna Paperfine,Pack,352
T-80645-00,Kertas HVS Warna Paperfine 80 gram c/n : IT 272 Platinum Gray; Paperfine; c/n : 272 Platinum Gray;,Pack,353
T-80646-00,Kertas HVS Warna Paperfine 80 gram c/n : IT 170 Pink; Paperfine; c/n : IT 170 Pink;,Pack,354
T-80647-00,Kertas HVS Warna Paperfine 80 gram c/n : IT 371 Cyber Orange; Paperfine; c/n : IT 371 Cyber Orange;,Pack,355
T-80648-00,Snowman Paint Marker FWP- 12 White Fine; ; ; pcPieces 12500,,356
T-80664-00,Kertas HVS Warna Paperfine 80 gram c/n : IT 140 ROSE; ; ; 1 pack = 25 lembarPack 17500,,357
T-80665-00,Kertas HVS Warna Paperfine 80 gram c/n : IT 115 CANARY; ; ; 1 pack = 25 lembarPack 17500,,358
T-80679-00,"Ribbon Cartridge, purple; SEAMLESS RIBBON ERC- 09 / ERC-22 (PURPLE); -; 1 pcsPieces 30000",,359
T-80680-00,Tinta Ribbon Epson ERC -38; Epson; ;,Pack,360
T-80685-00,Spidol OHP Ukuran Fine; Hitam; Snowman; pcPieces 11000,,361
